image_link,date,description,note,equipment_type,cntry_army,flag,system,status,total_equipment_type_oryx,total_system_oryx,total_destroyed_oryx,total_abandoned_oryx,total_captured_oryx,total_damaged_oryx,timestamp
https://twitter.com/UAWeapons/status/1507114939764420620,2022-03-24,NA,date from tweet,Armoured Fighting Vehicles,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,Unknown BTR-80/BTR-82A,destroyed,9,322,152,36,133,1,2022-04-29T21:08:14Z
https://twitter.com/UAWeapons/status/1505493946922942469,2022-03-20,NA,date from tweet,Armoured Fighting Vehicles,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,Unknown AFV,destroyed,54,322,152,36,133,1,2022-04-29T21:08:14Z
https://twitter.com/UAWeapons/status/1505649091627339781,2022-03-20,NA,date from tweet,Armoured Fighting Vehicles,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,Unknown AFV,destroyed,54,322,152,36,133,1,2022-04-29T21:08:14Z
https://twitter.com/UAWeapons/status/1506024208018649090,2022-03-21,NA,date from tweet,Armoured Fighting Vehicles,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,Unknown AFV,destroyed,54,322,152,36,133,1,2022-04-29T21:08:14Z
https://twitter.com/UAWeapons/status/1506734299663548434,2022-03-23,NA,date from tweet,Armoured Fighting Vehicles,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,Unknown AFV,destroyed,54,322,152,36,133,1,2022-04-29T21:08:14Z
https://twitter.com/UAWeapons/status/1506734299663548434,2022-03-23,NA,date from tweet,Armoured Fighting Vehicles,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,Unknown AFV,destroyed,54,322,152,36,133,1,2022-04-29T21:08:14Z
https://twitter.com/UAWeapons/status/1506665767206592516,2022-03-23,NA,date from tweet,Armoured Fighting Vehicles,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,Unknown AFV,destroyed,54,322,152,36,133,1,2022-04-29T21:08:14Z
https://twitter.com/UAWeapons/status/1506665767206592516,2022-03-23,NA,date from tweet,Infantry Fighting Vehicles,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,BMP-2,destroyed,213,622,365,44,207,6,2022-04-29T21:08:14Z
https://twitter.com/UAWeapons/status/1507039393378410497,2022-03-24,NA,date from tweet,Armoured Fighting Vehicles,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,Unknown AFV,destroyed,54,322,152,36,133,1,2022-04-29T21:08:14Z
https://twitter.com/UAWeapons/status/1507039393378410497,2022-03-24,NA,date from tweet,Armoured Fighting Vehicles,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,Unknown AFV,destroyed,54,322,152,36,133,1,2022-04-29T21:08:14Z
https://twitter.com/UAWeapons/status/1507039393378410497,2022-03-24,NA,date from tweet,Armoured Fighting Vehicles,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,Unknown AFV,destroyed,54,322,152,36,133,1,2022-04-29T21:08:14Z
https://i.postimg.cc/c6y4Tnn0/87.jpg,2022-03-01,NA,date from image,Infantry Fighting Vehicles,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,BMP-1(P),captured,37,622,365,44,207,6,2022-04-29T21:08:14Z
https://i.postimg.cc/BbPvL9ZN/hh7.jpg,2022-02-28,NA,date from image,Infantry Fighting Vehicles,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,BMP-2,destroyed,213,622,365,44,207,6,2022-04-29T21:08:14Z
https://postlmg.cc/jny01hRh,2022-03-11,NA,date from image,Infantry Fighting Vehicles,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,BMP-2,destroyed,213,622,365,44,207,6,2022-04-29T21:08:14Z
https://twitter.com/UAWeapons/status/1505490721989611524,2022-03-20,NA,date from tweet,Infantry Fighting Vehicles,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,BMP-2,destroyed,213,622,365,44,207,6,2022-04-29T21:08:14Z
https://twitter.com/UAWeapons/status/1505490721989611524,2022-03-20,NA,date from tweet,Infantry Fighting Vehicles,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,BMP-2,destroyed,213,622,365,44,207,6,2022-04-29T21:08:14Z
https://i.postimg.cc/9z5BPs2b/m1.png,2022-03-24,NA,date from image,Infantry Fighting Vehicles,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,BMP-2,destroyed,213,622,365,44,207,6,2022-04-29T21:08:14Z
https://postlmg.cc/QBJKb6cy,2022-03-25,NA,date from image,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://i.postimg.cc/vBy9TRg0/77699.png,NA,NA,no date,Infantry Fighting Vehicles,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,BMP-2,abandoned,213,622,365,44,207,6,2022-04-29T21:08:14Z
https://i.postimg.cc/V6GCvp8t/cn.jpg,2022-03-15,NA,date from image,Infantry Fighting Vehicles,Russia,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png,BMD-4M,captured,43,622,365,44,207,6,2022-04-29T21:08:14Z
https://twitter.com/UAWeapons/status/1506219574508892165,2022-03-22,NA,date from tweet,Infantry Fighting Vehicles,Russia,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png,BTR-82A,destroyed,139,622,365,44,207,6,2022-04-29T21:08:14Z
https://postlmg.cc/sGfMhkCN,2022-02-24,NA,date from image,Mine-Resistant Ambush Protected Vehicles,Russia,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png,KamAZ-63968 'Typhoon',captured,13,25,13,3,8,1,2022-04-29T21:08:14Z
https://i.postimg.cc/ZKDrDbck/85.png,NA,NA,no date,Infantry Mobility Vehicles,Russia,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png,GAZ Tigr-M,damaged,74,101,62,5,32,2,2022-04-29T21:08:14Z
https://postlmg.cc/pmLtNfk9,2022-03-18,NA,date from image,Engineering Vehicles And Equipment,Russia,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png,Pontoon bridge,destroyed,8,124,38,15,66,NA,2022-04-29T21:08:14Z
https://twitter.com/UAWeapons/status/1499400684747165696/photo/4,2022-03-02,NA,date from tweet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://i.postimg.cc/mrwKqRw8/Screenshot-8952.png,NA,NA,no date,Heavy Mortars,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,120mm 2B11/2S12,captured,11,12,4,NA,8,NA,2022-04-29T21:08:14Z
https://i.postimg.cc/wx2TJysb/4f2.jpg,2022-03-09,NA,date from image,Towed Artillery,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,120mm 2B16 Nona-K howitzer,captured,6,57,10,5,38,4,2022-04-29T21:08:14Z
https://i.postimg.cc/DzQV61cq/dbb.png,NA,NA,no date,Towed Artillery,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,122mm D-30 howitzer 2A18,captured,27,57,10,5,38,4,2022-04-29T21:08:14Z
https://i.postimg.cc/DzQV61cq/dbb.png,NA,NA,no date,Towed Artillery,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,122mm D-30 howitzer 2A18,captured,27,57,10,5,38,4,2022-04-29T21:08:14Z
https://i.postimg.cc/DzQV61cq/dbb.png,NA,NA,no date,Towed Artillery,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,122mm D-30 howitzer 2A18,captured,27,57,10,5,38,4,2022-04-29T21:08:14Z
https://i.postimg.cc/DzQV61cq/dbb.png,NA,NA,no date,Towed Artillery,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,122mm D-30 howitzer 2A18,captured,27,57,10,5,38,4,2022-04-29T21:08:14Z
https://i.postimg.cc/DzQV61cq/dbb.png,NA,NA,no date,Towed Artillery,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,122mm D-30 howitzer 2A18,captured,27,57,10,5,38,4,2022-04-29T21:08:14Z
