equipment_type,cntry_army,flag,system,status,image_link,total_equipment_type_oryx,total_system_oryx,total_destroyed_oryx,total_abandoned_oryx,total_captured_oryx,total_damaged_oryx,timestamp
Tanks,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,T-64BV,destroyed,https://i.postimg.cc/B63LSk6q/431v.png,13,531,269,39,212,11,2022-04-22T09:06:34Z
Tanks,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,T-64BV,destroyed,https://i.postimg.cc/vTVpDRV2/4fhh.png,13,531,269,39,212,11,2022-04-22T09:06:34Z
Tanks,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,T-64BV,destroyed,https://i.postimg.cc/nLkXCgJk/5gk.png,13,531,269,39,212,11,2022-04-22T09:06:34Z
Tanks,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,T-64BV,destroyed,https://i.postimg.cc/zDKNSv0P/4431.png,13,531,269,39,212,11,2022-04-22T09:06:34Z
Tanks,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,T-64BV,destroyed,https://i.postimg.cc/13SPjpnQ/325.png,13,531,269,39,212,11,2022-04-22T09:06:34Z
Tanks,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,T-64BV,destroyed,https://i.postimg.cc/Dm38Wx0v/669.png,13,531,269,39,212,11,2022-04-22T09:06:34Z
Tanks,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,T-64BV,damaged,https://i.postimg.cc/DfYzLMQ3/v60.png,13,531,269,39,212,11,2022-04-22T09:06:34Z
Tanks,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,T-64BV,damaged,https://i.postimg.cc/SQYyjpnT/887.jpg,13,531,269,39,212,11,2022-04-22T09:06:34Z
Tanks,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,T-64BV,damaged,https://i.postimg.cc/Gmh6ZzQv/31d.png,13,531,269,39,212,11,2022-04-22T09:06:34Z
Tanks,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,T-64BV,captured,https://i.postimg.cc/rydk48wh/n0.png,13,531,269,39,212,11,2022-04-22T09:06:34Z
